X,Y,PORTARV,icon_url
-48.6849259292475,-27.6245358125912,"2",./1.png
-48.684840356523,-27.6244308339512,"2",./1.png
-48.6848370652644,-27.624372512441,"2",./1.png
-48.6847251624708,-27.6243987571244,"2",./1.png
-48.6846099684186,-27.6243987571244,"2",./1.png
-48.6845507257632,-27.6243112748219,"2",./1.png
-48.6845013568837,-27.6241158974271,"2",./1.png
-48.6844124929006,-27.6240575757491,"2",./1.png
-48.684777822609,-27.6242996105096,"2",./1.png
-48.6846856673672,-27.6242500371685,"1",./2.png
-48.6852254337832,-27.6257955484202,"2",./1.png
-48.6851299872828,-27.6258480370985,"2",./1.png
-48.6852846764386,-27.6258946936803,"2",./1.png
-48.6850444145583,-27.6255010281474,"2",./1.png
-48.6856664624402,-27.626017167113,"2",./1.png
-48.6891507588016,-27.6241522604536,"3",./0.png
-48.6890653274958,-27.6240566484061,"3",./0.png
-48.6890563347268,-27.6239829473959,"3",./0.png
-48.6890158672661,-27.6239769716361,"3",./0.png
-48.6890450937655,-27.62393912515,"3",./0.png
-48.6890001299203,-27.6239251817045,"3",./0.png
-48.6890158672661,-27.6238992867295,"3",./0.png
-48.6890023781126,-27.6238674159827,"3",./0.png
-48.6890068744971,-27.6238176179221,"3",./0.png
-48.6889551660751,-27.6238315613814,"3",./0.png
-48.6889731516132,-27.6237777794574,"3",./0.png
-48.6889214431912,-27.6237897309983,"3",./0.png
-48.68891020223,-27.6237558682956,"3",./0.png
-48.6888944648842,-27.6237200136578,"3",./0.png
-48.688849501039,-27.6237180217331,"3",./0.png
-48.6888180263473,-27.6236781832321,"3",./0.png
-48.6887123613112,-27.6236224093064,"3",./0.png
-48.6886606528892,-27.6235686272797,"1",./2.png
-48.6886404191589,-27.6235188290832,"2",./1.png
-48.6886336745821,-27.6234710227933,"3",./0.png
-48.6885932071215,-27.6234750066516,"3",./0.png
-48.6885819661602,-27.6234331761324,"2",./1.png
-48.6885617324298,-27.6233913455972,"3",./0.png
-48.6885235131614,-27.623367442427,"3",./0.png
-48.6885235131614,-27.6233295957302,"3",./0.png
-48.6884942866621,-27.6232758135597,"3",./0.png
-48.6884605637782,-27.623241950698,"3",./0.png
-48.6884560673937,-27.6231961362214,"3",./0.png
-48.6884245927021,-27.6231383701149,"2",./1.png
-48.6884021107795,-27.6230009264976,"3",./0.png
-48.6884200963175,-27.6229292167157,"3",./0.png
-48.6883818770491,-27.6228754343485,"3",./0.png
-48.6883886216259,-27.6228037244845,"3",./0.png
-48.6883773806646,-27.6227300226308,"3",./0.png
-48.6883818770492,-27.6226403851744,"3",./0.png
-48.688406607164,-27.6225766429385,"3",./0.png
-48.6884133517408,-27.6225188765051,"3",./0.png
-48.6884358336633,-27.6224790375678,"3",./0.png
-48.6884358336633,-27.622439198616,"3",./0.png
-48.6884560673937,-27.6223993596497,"3",./0.png
-48.6884560673937,-27.6223396011731,"3",./0.png
-48.6884875420853,-27.6222898024177,"3",./0.png
-48.6885100240079,-27.6222539472998,"3",./0.png
-48.6884987830466,-27.6221961806962,"3",./0.png
-48.6885572360453,-27.6221563416415,"3",./0.png
-48.6885572360453,-27.6221563416415,"3",./0.png
-48.6886831348118,-27.6219272667956,"2",./1.png
-48.6887663179254,-27.6218455965172,"2",./1.png
-48.6888360118854,-27.6217778698987,"2",./1.png
-48.6886449155434,-27.6220507680764,"3",./0.png
-48.6887123613112,-27.6219730818031,"3",./0.png
-48.6889641588442,-27.6216264808353,"2",./1.png
-48.6890698238803,-27.6214970031809,"2",./1.png
-48.6892159563772,-27.6212559751393,"2",./1.png
-48.6892182045694,-27.6207739174647,"2",./1.png
-48.6891889780701,-27.6204830882544,"2",./1.png
-48.6892339419152,-27.6203177534959,"3",./0.png
-48.6891282768791,-27.6202181541233,"3",./0.png
-48.6843630601343,-27.6249628027747,"2",./1.png
-48.6844515592535,-27.6250474859362,"2",./1.png
-48.6845883221296,-27.6250228281414,"2",./1.png
-48.6853238406128,-27.624776078483,"2",./1.png
-48.686545493205,-27.6235729023202,"2",./1.png
-48.6858985040962,-27.6227936018575,"3",./0.png
-48.6857250550006,-27.6229810903561,"2",./1.png
-48.6857215860186,-27.6229534281388,"2",./1.png
-48.6857423999101,-27.622905787637,"2",./1.png
-48.6857337274553,-27.6228719782361,"2",./1.png
-48.6857614793106,-27.6228427791996,"2",./1.png
-48.685787496675,-27.6228181905313,"2",./1.png
-48.6858464693675,-27.6228181905313,"3",./0.png
-48.6858360624217,-27.623031804403,"2",./1.png
-48.6859245214605,-27.6230717609082,"2",./1.png
-48.6859245214605,-27.6230717609082,"2",./1.png
-48.685983494153,-27.6230686873314,"2",./1.png
-48.6860285909179,-27.6228535367403,"3",./0.png
-48.6860095115173,-27.6231132541867,"2",./1.png
-48.6860719531918,-27.6231270852761,"2",./1.png
-48.6860719531918,-27.6231270852761,"2",./1.png
-48.6861378638481,-27.6230702241198,"1",./2.png
-48.6860702187008,-27.6232192924937,"2",./1.png
-48.6861586777396,-27.623205461416,"3",./0.png
-48.6862141814502,-27.6231439899385,"1",./2.png
-48.6862020400135,-27.6229657224584,"2",./1.png
-48.6862419333055,-27.6230041421985,"2",./1.png
-48.6863061094708,-27.6230379515586,"2",./1.png
-48.6863616131814,-27.6230855920028,"2",./1.png
-48.6863945685096,-27.6231209381255,"2",./1.png
-48.6864396652745,-27.6231501370877,"2",./1.png
-48.6865211863494,-27.6231977774832,"2",./1.png
-48.6863546752176,-27.6233068892785,"1",./2.png
-48.6862471367783,-27.6232807639289,"2",./1.png
-48.6864552756931,-27.6233053524934,"2",./1.png
-48.6865576106595,-27.6232761535725,"2",./1.png
-48.6865506726957,-27.6233161099886,"2",./1.png
-48.6866061764063,-27.6232408074999,"2",./1.png
-48.6866321937706,-27.6232653960734,"2",./1.png
-48.6866651490988,-27.6234451998486,"2",./1.png
-48.6867796255019,-27.6234928401156,"2",./1.png
-48.6868316602305,-27.6235327964527,"2",./1.png
-48.6868004393933,-27.6233668238803,"3",./0.png
-48.6868004393933,-27.6233668238803,"3",./0.png
-48.6869634815432,-27.6234359791494,"2",./1.png
-48.687045658912,-27.6234948545467,"2",./1.png
-48.6870943184151,-27.6234966509208,"2",./1.png
-48.6871368954802,-27.6235343747692,"2",./1.png
-48.6871429779181,-27.6235792840956,"2",./1.png
-48.6871085107701,-27.6236170079156,"2",./1.png
-48.6870618787464,-27.6236170079156,"2",./1.png
-48.6870071368055,-27.6236116187993,"2",./1.png
-48.6870902634565,-27.6235649131132,"2",./1.png
-48.6871815000247,-27.6235631167402,"2",./1.png
-48.6871815000247,-27.6235631167402,"2",./1.png
-48.6869463124267,-27.6235972478211,"2",./1.png
